审计编号,本线程原审计发现摘要,任务对应
G01,新项目上传后未同步工作区,FP-00、FP-01
G02,离页返回分镜状态未恢复,FP-00、FP-02
G03,确认首帧未同步资产,FP-00、FP-03
G04,参考匹配重试不触发,FP-00、FP-04
G05,看板作品跳转task/batch ID不一致,FP-00、FP-21
G06,爆款提取文案与复刻来源交接、IP二创未闭环,FP-00、FP-11、FP-12
G07,照片到分身参数未带入,FP-00、FP-13
G08,爆款加载更多失效,FP-00、FP-10
G09,口播字幕/模板请求漏传,FP-00、FP-15、FP-16
G10,后台客户上下文混用,FP-00、FP-23
G11,统计与生成记录漏口播,FP-22
G12,参考图类型和数量约束不一致,FP-05
G13,报价与确认提交门禁不足,FP-06
G14,人物/场景/任务静默截断,FP-17
G15,客户流水/订单缺历史分页,FP-18
G16,完整云端音频选择不足,FP-14
G17,素材预览和人物照片数量展示不完整,FP-19
G18,资料错误反馈与固定在线状态,FP-24
G19,新创作页只读角色限制不足,FP-25
G20,搜索范围与通知功能未完整实现,FP-28、FP-29
G21,详情地址与导航历史恢复不足,FP-21
G22,看板刷新及后台异常处理入口不足,FP-22、FP-23
U01,发布账号授权/正式发布/自定义封面,FP-26、FP-31、FP-32、FP-33
U02,会话收藏与发布草稿未持久化,FP-20、FP-32
U03,链接解析未接通,FP-30
U04,口播上传音频仅提示,FP-14
U05,实收利润口径未实现,FP-34
U06,客户主动退出缺入口,FP-24
U07,Hifly配置缺UI,FP-27
U08,非COS连接测试仅配置校验,FP-27
U09,暂不处理空回调,FP-24
U10,积分、余额与发布量概览占位,FP-26、FP-33
D01,隔离DEV审核及测试样例,FP-08
D02,真实主图裁切失败产生占位切片,FP-07、FP-09
D03,资产来源标识不完整,FP-08、FP-09
D04,内部模式自动Fake回退,FP-08
D05,显式Fake视频配置,FP-08
D06,正式页面固定业务状态/数字,FP-08、FP-26、FP-33
