编号,页面项或动作,前端实际处理,后端对应与完成情况,客户影响与补齐点
C01,页面标题“提取与二创”,固定标题/说明,无对应请求，属展示,当前页面自身没有直接提取/直接改写处理，说明应与可执行操作一致。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 166–169
C02,文案改写 Tab,React 本地 Tab,不需要后端,已实现；切页再回会重置为改写 Tab。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 156、171–177
C03,我的文案 Tab,展示 savedScripts,GET /api/studio/saved-scripts 已实现,列表在工作区挂载时读取，不是每次开 Tab 刷新；错误被转换为空列表。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 292–301
C04,来源条,按 sourceId 查资产/爆款,来源数据来自项目/爆款列表，未单独核对正文归属,仅展示；来源与正文可错配，参见第 3 节。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 157–160、205
C05,原文全文,显示 script.original,ASR result 或项目 analysis 可提供原文,展示已实现；无法在工坊直接纠正 ASR 原文，也无时间戳/原声对照。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 208–212
C06,原文空态,显示尚未提取,无请求,空态建议去爆款/视频来源，但没有可完成提取的就地操作。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 214–224
C07,打开来源分析,openLive('analysis'),可打开现有项目分析功能,仅跳转；无 projectId 时变为项目列表，不等于开始 ASR。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 682–713
C08,作品名称,更新 script.title，撤销确认,云草稿 payload；保存文案 title 上限 300,已实现编辑，前端无长度提示；下游口播 title 上限 120，存在迟到校验。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 236–250；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_drafts.py:127 60–62；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/oral_routes.py:319 326
C09,二创正文编辑,更新 script.text，撤销确认,云草稿、保存文案、项目脚本均有存储能力,编辑已实现；工坊未提示正文长度、预计时长及下游 10000 字符上限。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 251–268；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/oral_routes.py:319 327
C10,草稿/终稿 Vn,直接显示前端 confirmed/version,云草稿保存 confirmed；保存文案的版本号由前端传入,不是统一的服务端版本状态；本地 Vn、云文案、项目脚本版本可各不相同。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 230–234
C11,IP 卡片,展示人物身份、范围、表达,人物库 IP 定位服务已有数据,已实现展示；不能据此断言本次改写使用了这些数据。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 270–303
C12,按 IP 二创,仅打开旧 analysis,POST /projects/{id}/script-rewrite 和 IP 快照已实现,入口未接通当前稿与 IP；不应重写一套服务，而应补正确接线/独立草稿入口。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 305–307
C13,更换人物,打开人物选择器,人物读取已实现；选中本身是本地状态,更换后撤销终稿、清空旧声音/分身是正确保护；缺人物就绪/定位完整性的就地提示。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 651–680
C14,确认终稿按钮,非空才可点；本地立即 confirmed=true,PUT 云草稿；有 projectId 时尝试 POST 项目脚本,部分实现。未等待保存成功，无镜头卡时项目同步必失败；详见第 6 节。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 839–853
C15,保存版本,先更新本地列表，然后发送保存请求,POST saved-scripts 按 user+script_id upsert,存储已实现，历史版本未实现；云端失败仍有本地列表记录。/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 811–837；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_drafts.py:127 232–244
