前端文件,行号,函数,方法,路径,结果,后端证据
client/src/admin/ProfitOverview.tsx,307,ProfitOverview,GET,/api/control/profit/overview.csv,匹配,server/app/admin_profit_routes.py:407
client/src/admin/api.economics.ts,60,listOperationCosts,GET,/api/control/profit/costs,匹配,server/app/admin_profit_routes.py:558
client/src/admin/api.economics.ts,66,operationCostsCsvUrl,GET,/api/control/profit/costs.csv,匹配,server/app/admin_profit_routes.py:570
client/src/api.admin.ts,247,listAdminRechargeOrders,GET,/api/control/recharge-orders,匹配,server/app/control_routes.py:534
client/src/api.admin.ts,273,listAdminWalletTransactions,GET,/api/control/wallet-transactions,匹配,server/app/control_routes.py:593
client/src/api.admin.ts,308,loginAdminWithPassword,POST,/api/control/admin/session/password,匹配,server/app/admin_auth_routes.py:933
client/src/api.admin.ts,323,exchangeAdminSession,POST,/api/control/admin/session/exchange,匹配,server/app/admin_auth_routes.py:877
client/src/api.admin.ts,337,fetchAdminSession,GET,/api/control/admin/session,匹配,server/app/admin_auth_routes.py:1067
client/src/api.admin.ts,354,recoverAdminPassword,PUT,/api/control/admin/password,匹配,server/app/admin_auth_routes.py:1008
client/src/api.admin.ts,367,deleteAdminSession,DELETE,/api/control/admin/session,匹配,server/app/admin_auth_routes.py:1088
client/src/api.admin.ts,500,createActivationCodeBatch,POST,/api/control/activation-code-batches,匹配,server/app/admin_activation_routes.py:185
client/src/api.admin.ts,523,generateActivationCodes,POST,/api/control/activation-code-batches/{encodeURIComponent(batchId)}/generate,匹配,server/app/admin_activation_routes.py:278
client/src/api.admin.ts,537,downloadActivationCodeExport,POST,/api/control/activation-code-exports/{encodeURIComponent(exportId)}/download,匹配,server/app/admin_activation_routes.py:402
client/src/api.admin.ts,578,listActivationCodes,GET,/api/control/activation-codes,匹配,server/app/admin_activation_routes.py:1032
client/src/api.admin.ts,593,revealActivationCode,POST,/api/control/activation-codes/{encodeURIComponent(codeId)}/reveal,匹配,server/app/admin_activation_routes.py:889
client/src/api.admin.ts,612,deliverActivationCode,POST,/api/control/activation-codes/{encodeURIComponent(codeId)}/deliver,匹配,server/app/admin_activation_routes.py:512
client/src/api.admin.ts,630,suspendActivationCode,POST,/api/control/activation-codes/{encodeURIComponent(codeId)}/suspend,匹配,server/app/admin_activation_routes.py:624
client/src/api.admin.ts,644,resumeActivationCode,POST,/api/control/activation-codes/{encodeURIComponent(codeId)}/resume,匹配,server/app/admin_activation_routes.py:683
client/src/api.admin.ts,658,revokeActivationCode,POST,/api/control/activation-codes/{encodeURIComponent(codeId)}/revoke,匹配,server/app/admin_activation_routes.py:735
client/src/api.admin.ts,672,archiveActivationCode,POST,/api/control/activation-codes/{encodeURIComponent(codeId)}/archive,匹配,server/app/admin_activation_routes.py:791
client/src/api.admin.ts,686,approveDevicePairing,POST,/api/control/device-pairings/{encodeURIComponent(pairingId)}/approve,匹配,server/app/admin_device_routes.py:320
client/src/api.admin.ts,701,replaceDeviceForPairing,POST,/api/control/device-pairings/{encodeURIComponent(pairingId)}/replace-device,匹配,server/app/admin_device_routes.py:395
client/src/api.admin.ts,833,listCustomers,GET,/api/control/customers,匹配,server/app/admin_customer_routes.py:810
client/src/api.admin.ts,860,fetchCustomerUnitPrice,GET,/api/control/customers/{encodeURIComponent(userId)}/unit-price,匹配,server/app/admin_customer_routes.py:280
client/src/api.admin.ts,881,updateCustomerUnitPrice,PUT,/api/control/customers/{encodeURIComponent(userId)}/unit-price,匹配,server/app/admin_customer_routes.py:300
client/src/api.admin.ts,964,listDevices,GET,/api/control/devices,匹配,server/app/admin_device_routes.py:92
client/src/api.admin.ts,987,unbindDevice,POST,/api/control/devices/{encodeURIComponent(deviceId)}/unbind,匹配,server/app/admin_device_routes.py:462
client/src/api.admin.ts,999,revokeDeviceCredential,POST,/api/control/devices/{encodeURIComponent(deviceId)}/revoke-credential,匹配,server/app/admin_device_routes.py:514
client/src/api.admin.ts,1056,listAllAdminAdjustments,GET,/api/control/adjustments,匹配,server/app/admin_customer_routes.py:698
client/src/api.admin.ts,1090,listAdminAdjustments,GET,/api/control/customers/{encodeURIComponent(userId)}/adjustments,匹配,server/app/admin_customer_routes.py:636
client/src/api.admin.ts,1165,listLiveSessions,GET,/api/control/customer-sessions/live,匹配,server/app/admin_session_routes.py:87
