编号,优先级,问题或风险,复现触发或证据,最小修复方向
G01,P0,PG Worker 不消费 ASR,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/generation_worker.py:445 SQLite 445–475 有分支；PG 改写 1058–1095 后进入其他流程，无音频领取,将现有 ASR 任务接入 PG Worker，补 PG 真入队/消费/完成与并发恢复测试
G02,P1,爆款提取不转写且来源污染,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/ContentPages.tsx:629 644–654、699–704；状态函数复现旧稿继续 confirmed,媒体→项目/资产→转写→来源绑定；切源整体失效旧稿及确认，保留旧作品为独立草稿
G03,P1,当前文案与 IP 未用于二创,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 305；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/LiveWorkspacePanel.tsx:102 102–110；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/AnalysisWorkspace.tsx:514 514–525,直接调用已有改写任务，传当前文本和 IP；为无项目工坊定义合理任务归属
G04,P1,旧分析改完不能直接回填工坊,关闭旧面板只刷新列表；项目再次导入才取稿,以明确的结果/版本回调返回工坊，并核对当前编辑是否已变化
G05,P1,确认成功早于云端写入；项目无镜头卡无法发布,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 839–853；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 1009–1023,显示保存中/失败/已保存；分开口播终稿与分镜脚本发布，成功后更新对应状态
G06,P1,ASR 迟到结果污染当前新草稿,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 879–893 读 latestDraft，但不核对 draftId/projectId/source/操作代数,请求时冻结上下文；结果只回写原草稿，当前已切换则提示可导入，不能自动跳走
G07,P1,复刻生成未使用工坊终稿,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 849–858；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 1121–1129,将所选终稿及版本显式传入复刻脚本映射和 Prompt 编译；禁止无提示回退原稿
G08,P1,我的文案套用丢来源/IP；可能写入旧项目,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 966–1003；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 187,保存并恢复来源/IP；把继续原作品与复制到当前作品分成明确动作
G09,P1,项目导入可覆盖未保存人工稿,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/state.ts:76 82–91；已隔离复现同版本异 ID 覆盖,优先保留 dirty 稿，显式选择服务端版本，必要时显示比较
G10,P1,刷新/关闭可能丢防抖窗口内编辑；恢复失败静默,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 241–249、310–314；没有本地持久兜底,可观察保存状态、可恢复本地草稿、离开前合理持久化；保存请求乱序另补实验
G11,P1,ASR/新工坊改写没有用户可达的任务恢复,latest 接口存在，工坊不调用；任务列表只映射视频/口播,展示提取/改写任务卡，保存 taskId，重开继续取同一任务，不重复请求模型
G12,P1,ASR 旧执行者可覆盖恢复后的终态；并发入队保护不完整,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/script_from_audio.py:1 状态更新仅按 id；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/migrations/versions/068_script_from_audio_tasks.py:1 无活跃任务唯一约束,补领取者/状态条件更新，复用现有改写域的防重与恢复模式，先写竞态回归
G13,P1,改写空结构/截断结果被接纳,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/script_rewrite.py:1 结果解析；null/length 两项无 Provider 复现,校验 content 为非空字符串及完成原因；截断/异常保留诊断但不得冒充完整二创稿
G14,P2,保存版本覆盖，Vn 不递增,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 820–837；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_drafts.py:127 232–244；页面复核两次保存仍 V3 一条,确定“保存当前稿”还是“新增版本”，按选择统一文案、数据与历史能力
G15,P2,文案库失败为空、上限 50 无分页、更新不置顶、删除没入口,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/StudioWorkspace.tsx:233 298；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_drafts.py:127 191–205；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/studio_draft_routes.py:40 删除路由,接入读取重试/删除，分页或明确限制，明确更新时间与创建时间排序
G16,P2,回上一步无明确闭环；原文不能纠错,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/CreationPages.tsx:145 全部 CopyPage；returnTo 单字段,明确返回来源/返回原创作；原文可校对并保留转写原件，显示新确认要求
G17,P2,工坊/改写/口播限制不一致,保存正文 100000、改写 20000、口播 10000；标题 300/120,按选定去向提前提示并校验；显示字数、估计时长，长稿允许分段处理
G18,P1,真实任务调整脚本没有原始草稿快照,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/live.ts:935 真实任务映射；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/MainPages.tsx:200 task-detail 操作,从任务存储的 script_text/版本与人物资产构造返工草稿，确保独立新创作 ID
G19,P1,长音频回执不持久化、无续租、提交/超时状态归类不一致,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/asr.py:1 187–238；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/script_from_audio.py:1 45、478；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/generation_worker.py:445 454–459,保存服务商回执，分阶段处理与恢复，准确标记提交状态；不靠重新发起替代取回结果
G20,P2,ASR 未配置返回通用 500,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/script_from_audio.py:1 166；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/asr.py:1 310–315；后端异常处理链,路由转换为稳定业务错误，工坊显示能力未就绪/稍后再试，保留输入
G21,P2,临时音频缺崩溃/删除失败补偿；资源类型与大小缺硬校验,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/server/app/script_from_audio.py:1 167–175、406、428–433；后端备忘 BG-07/08,验证媒体类型/大小，限制内存读取；记录临时对象并补清理恢复
G22,P2,人物定位未保存即跳工坊；同 ID 定位变更缺稿件版本关联,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/PeoplePages.tsx:1 313–343、403–407；/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/outputs/copy-workshop-audit-2026-09-07/source-snapshot/client/src/studio/state.ts:76 153,提供保存并创作；明确确认稿采用的定位版本，关键定位改动提示核对。这是流程一致性风险，不要求所有人物资料变更均撤销终稿
