分支,HEAD,落后本地main提交,领先本地main提交,相对共同祖先变化文件数,分类,覆盖或处置方向,工作树,已跟踪改动数,未跟踪条目数,状态
audit/frontend-mock-gap-2026-09-07,5876cfa3e0b649fb9991980f359037911df21633,28,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
backup/pre-launch-before-split,00f63968846a96529fe4a2ef687bfa38eff498f7,133,10,61,档案保留,默认保留；不自动合入产品,,0,0,候选，须审查
backup/scene-look-result-recovery-pre-main-65e45c3,65e45c34ad7ee75b2a4c4f8d0fb82e26f7b612c0,133,12,58,档案保留,默认保留；不自动合入产品,,0,0,候选，须审查
chore/agents-push-checklist,7b79ebc2f08cc1f6d23a811bce0f8b3915b8ee5e,112,1,1,主要候选端点,按独有任务整理PR,,0,0,候选，须审查
chore/ignore-desktop-runtime-logs,e216a8fb54ee25d9883ac3ff79d6ade29d61286d,112,1,1,主要候选端点,按独有任务整理PR,,0,0,候选，须审查
codex/c4-cover-cache,985ef46ad0b45d7ab47dd56bc1e1436c43cce93f,61,3,12,其他分支覆盖,PR#95 / codex/frontend-v1.4，固定985ef46,/private/tmp/c4-finalcheck,0,1,候选，须审查
codex/character-ip-oral-completion,899ee7c29a5c373c543babbbf6e6f017e63fe492,60,4,50,主要候选端点,按独有任务整理PR,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-人物IP口播联调,0,0,候选，须审查
codex/frontend-v1.4,9362eef962d08760f5f2701141e2f03cef45024e,0,10,17,主要候选端点,按独有任务整理PR,,0,0,候选，须审查
docs/admin-redesign-design-pack,3938abe56bb1e709eed4ee3cf2fbb2e5d257c5c7,107,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
docs/project-tech-review-2026-09-07,11450209d821945ee9c34c907d6e4fb8e55ccfa6,7,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
feat/c5-publish-module,7e5450a777852d01d265cc64df09eb3d1eaf2d87,25,6,54,主要候选端点,按独有任务整理PR,/Users/honor.pei/Documents/订单项目/c5-publish,0,0,暂缓：产品范围、迁移及PR#96待重整
feat/character-library-page-closure,b24df32b665a8b38bf3709a417fb710f979420cb,0,22,63,主要候选端点,按独有任务整理PR,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-人物库收口,23,8,候选，须审查；存在未提交跟踪文件，必须另行收口
feat/customer-v3-admin-revamp,c10573f3c303dd966f88db80e433c6715965cfee,87,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
feat/data-dashboard-sync-2026-09-07,ade5022292f2596288d7a12ba56d2b7134118b2c,22,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
feat/material-library-linkage-completion,6bcc61de3702ae8998a8b499087a3c71c122fc9d,59,5,23,其他分支覆盖,fix/material-library-isolation-and-completion,,0,0,候选，须审查
feat/oral-wip-checkpoint,6c5bb29ec3865f50cd2af77944e009c9523446ae,59,0,0,本地main已包含,main历史任务覆盖核验后归档,/private/tmp/oral-wip,0,0,候选，须审查
feat/studio-admin-merge,289e76862dcf93b8c244a157ea020eeba00513ae,30,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
feat/studio-replacement-flow,f03a930151c934e2d41c59c15ad4b2ef0c6a88fb,12,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
feat/studio-replica-flow,0dc1f5ec19415dbd5b97d161c40be5f7b88f7290,16,0,0,本地main已包含,main历史任务覆盖核验后归档,,0,0,候选，须审查
feat/unified-frontend-gate-flow-audit-20260907,8d13f60e6316afce544d5961ad169aebab8ef7fa,0,2,10,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,,0,0,候选，须审查
feat/viral-module-launch-20260907,ccb643092f966fb5c1d83dbe01c18ff0fe33ca53,0,8,65,收口分支祖先覆盖,fix/frontend-completion-no-confirmation-20260907,/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻,28,10,候选，须审查；存在未提交跟踪文件，必须另行收口
