"原任务","原名称","核查判定","已有内容","剔除重复开发","剩余内容","V3处理","承接编号","源码依据","其他本地分支"
"CW-001","固定代码与迁移发布基线","准备或条件判断","已固定 bffc341 应用源、bf6aab8 文档输入；本轮快照47个本地分支、546项源文件及76个迁移，唯一head078。","重复做未指定边界的全仓摸底；已有Git与迁移基线生成能力。","将其他本地分支的保留补丁整合到正式候选，冻结候选SHA、变更来源、回滚点及责任；本轮快照只代表审计输入。","准备与决策","CW-001","[outputs/customer-cloud-convergence-analysis-2026-09-08/v3/baseline.json:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/v3/baseline.json:1)；[server/migrations/versions/078_viral_module_launch.py:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/migrations/versions/078_viral_module_launch.py:1)","。"
"CW-002","冻结产品、平台和业务范围","准备或条件判断","客户桌面+后端、全环境PG已由用户确认，现有工作台模块可从源码枚举。","数据库类型、双产品是否收敛、是否重写已有业务的重复选型。","仅冻结支持OS、游客门禁、发布管理现有边界、跨任务公平范围及条件项；映射真实角色UAT。","准备与决策","CW-002","[docs/PostgreSQL唯一数据库实施与验收规范.md:7](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/PostgreSQL唯一数据库实施与验收规范.md:7)；[client/src/studio/types.ts:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/types.ts:1)","。"
"CW-003","盘点已发客户端和接口兼容窗口","准备或条件判断","当前客户Tauri配置、API类型和凭据命名空间已有代码。","重新设计客户API或凭据存储。","盘点实际发出的旧版本与哈希；冻结API/安装身份兼容窗口和退出判断；仓库不能证明实际分发数量。","准备与决策","CW-003","[client/src-tauri/tauri.customer.conf.json:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/tauri.customer.conf.json:1)；[client/src-tauri/src/customer_credentials.rs:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src-tauri/src/customer_credentials.rs:1)","。"
"CW-004","冻结部署主线与可量化运行指标","准备或条件判断","PG16 fixture、CI数据库服务、HA/运维部署说明已有基础。","从零建设PG16测试容器及重复编写抽象部署方案。","确认真实环境的交付主线、PG版本/角色/连接池总预算、节点资源、负载及RTO/RPO/灰度数值。","准备与决策","CW-004","[scripts/pg-fixture.sh:4](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/scripts/pg-fixture.sh:4)；[.github/workflows/ci.yml:47](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/.github/workflows/ci.yml:47)；[docs/客户版部署与灰度手册.md:3](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版部署与灰度手册.md:3)","。"
"CW-005","选择全部采用 PG 的历史数据处理路线","准备或条件判断","已有SQLite→空PG导入及PG账務核对工具，A/B/C定义已确定。","重复选择PG或重复实现空库导入器。","真实数据批次只读盘点、价值/owner归属与A/B/C路线签认；不能默认无内部数据。","准备与决策","CW-005","[server/scripts/sqlite_to_postgres.py:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/sqlite_to_postgres.py:1)；[server/scripts/reconcile_customer_billing.py:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/scripts/reconcile_customer_billing.py:1)","。"
"CW-006","登记实施任务、文件映射和验收责任","准备或条件判断","V2已将60项写入唯一账本§17，已有文件映射§14、12组PG规范和证据记录；原基线“尚未写入状态账本”已过时。","重新登记同一批60个空任务及重建规范文件；本轮V3映射同步可直接复用。","在去重后的条目领取时落实具体Owner/Reviewer、候选/数据/兼容决议及授权记录；随实际增量更新文件映射。","取消独立排程并合并","所有保留任务的通用完工要求","[docs/客户版任务清单-V3.md:382](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版任务清单-V3.md:382)；[docs/客户版代码开发清单-V3.md:428](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/客户版代码开发清单-V3.md:428)；[docs/PostgreSQL唯一数据库实施与验收规范.md:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/PostgreSQL唯一数据库实施与验收规范.md:1)","。"
"CW-053","登记全量数据库依赖与历史 SQLite 例外","准备或条件判断","已有数据库门面/调用地图与12组PG合同；本轮补充按文件词法信号清单。","重复扫描同一关键词并将文件数当覆盖结论。","逐函数/fixture/业务表细分实际连接、类型引用、迁移和TEST分类；精确历史allowlist及责任/退役条件；形成可逐项核销表。","准备与决策","CW-053","[outputs/customer-cloud-convergence-analysis-2026-09-08/v3/audit/database-signals.json:1](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/outputs/customer-cloud-convergence-analysis-2026-09-08/v3/audit/database-signals.json:1)；[docs/PostgreSQL唯一数据库实施与验收规范.md:23](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/docs/PostgreSQL唯一数据库实施与验收规范.md:23)","。"
"CW-007","建立全业务 PostgreSQL 测试基座与缺库硬门","已有基础，仍有增量","已有PG16 Docker fixture、CI PG服务、PG测试建库与客户种子；不需从零建PG支持。","重写容器/PG驱动和已有客户种子场景。","统一测试资源命名/清理边界与PG preflight；移除当前业务缺PG skip和开发身份默认；补连续两次/中断/并发隔离验证。","代码与测试增量","CW-007","[scripts/pg-fixture.sh:4](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/scripts/pg-fixture.sh:4)；[server/tests/conftest.py:8](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/conftest.py:8)；[server/tests/test_postgres_migrations.py:142](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_postgres_migrations.py:142)","。"
"CW-008","锁定真实客户界面回归及钱包失败用例","已有基础，仍有增量","RootApp 与 CustomerWorkspace 测试已经真实挂载 StudioWorkspace；已覆盖 Tauri 根入口、客户激活/被替换终态、凭据附着后业务读取、设备配对及审批；CustomerWalletPanel/RechargeDialog 有独立组件用例。仅 App.test.tsx 为旧壳兼容而替换 Studio。","剔除重新建设真实客户挂载基座、重复编写既有激活/配对/设备列表冒烟和钱包组件基本用例；复用现有 stub、凭据 store 与组件测试。","补齐从真实客户壳点击使用记录及个人中心钱包两个入口的生产形状响应测试，锁定 customerAccount 未传成 customerWallet 导致旧钱包路径的失败；补退出、恢复契约和界面身份切换必要缺口。","取消独立排程并合并","CW-012、CW-013、CW-015、CW-016、CW-017、CW-018","[client/src/RootApp.test.tsx:111](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/RootApp.test.tsx:111)；[client/src/customer/CustomerWorkspace.test.tsx:216](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/CustomerWorkspace.test.tsx:216)；[client/src/App.test.tsx:17](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/App.test.tsx:17)；[client/src/studio/LiveWorkspacePanel.test.tsx:30](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/studio/LiveWorkspacePanel.test.tsx:30)；[client/src/customer/CustomerWalletPanel.test.tsx:70](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/client/src/customer/CustomerWalletPanel.test.tsx:70)","{""branch"": ""fix/frontend-completion-no-confirmation-20260907"", ""commit"": ""cdfb4991a5d52bd83937c08227fbd5ac8aa25493"", ""path"": ""client/src/customer/CustomerWorkspace.tsx"", ""line"": 314, ""why"": ""候选已经提供 onLogout 接线，可带对应测试整合，非当前已完成"", ""count_as_current_completion"": false}。"
"CW-009","锁定身份、权限及事务 fencing 不变量","已有基础，仍有增量","客户会话 verifier 已在真实 PostgreSQL 事务中按 user/device/session/epoch/lease 重验，并把业务写和提交证据放在同一外层事务；已有 fencing、安全、管理员 session/CSRF/auditor、生产配置 fail-closed 等专项测试。","真实支付/Provider/COS 链路属于 CW-050；类生产全角色验收属于 CW-047—049；密钥扫描只能作为补充证据，不能替代本项安全行为矩阵。","把 V3 §6 的每条安全要求映射到保留 method-path；当前各套测试尚不是一张 0 漏项矩阵；TEST-PG 缺库必须失败；当前 fencing/security fixture 会 pytest.skip；补齐日志、Sentry、CSV、dump、LocalStorage 全介质明文泄漏行为断言及支付回调独立鉴权映射。","代码与测试增量","CW-009","[server/app/customer_fence.py:181](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/app/customer_fence.py:181)；[server/tests/test_customer_fencing.py:99](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_fencing.py:99)；[server/tests/test_customer_security.py:402](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_customer_security.py:402)；[server/tests/test_admin_auth.py:976](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻-客户版收敛分析/server/tests/test_admin_auth.py:976)","。"
