任务ID,任务,用例ID,验收阶段,阻塞层级,验收项,前置/步骤,预期结果,实际结果,证据要求,证据链接,执行人,执行时间,候选SHA
FP-00,建立复现基线与逐项处理台账,FP-00-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,关键断点复现,分别使用空账号、新上传项目、已有分镜、超过12条爆款、真实task/batch格式的受控数据执行 G01–G10。,每条有输入、步骤、实际结果、预期结果、源码SHA与截图/请求证据；不适用项说明原因。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-00,建立复现基线与逐项处理台账,FP-00-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,测试证明缺陷,对确认成立的问题在修复前运行对应回归测试。,测试因目标缺陷失败；不能只断言Mock回调被调用；修复前后可使用同一个用例。 本期每个FP同时有正式TXX及计划分支/PR映射；未映射项不可转开发中。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-01,接通新上传项目与创作工作区,FP-01-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,空账号首传,从空白复刻页上传一个视频，随后点击拆解并转人物替换。,无需刷新即可继续；项目和资产ID一致，替换页能找到新项目。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-01,接通新上传项目与创作工作区,FP-01-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,失败与换来源,中断上传，再切换到另一来源并让旧请求返回。,错误可重试；旧结果不覆盖当前项目；无成功假提示。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-02,恢复复刻分镜与脚本版本,FP-02-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,离页往返,拆解并保存→去人物替换→返回复刻。,分镜、版本ID和Prompt一致；满足前置后可继续生成，没有新增分析任务。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-02,恢复复刻分镜与脚本版本,FP-02-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,刷新与换项目,在有可恢复身份的环境刷新页面，再选择另一项目。,已保存版本恢复；不带入上个项目的内容；读取失败有重试。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-03,接通确认首帧到视频生成的资产交接,FP-03-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,新首帧直接生成,生成并确认一张之前不在data.assets的新首帧，点击用于文/图生视频。,显示正确首帧；生成请求携带相同资产ID，不报请选择首帧。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-03,接通确认首帧到视频生成的资产交接,FP-03-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,上游失效,确认后切换人物或项目，再尝试生成。,要求重新确认；不会提交旧首帧。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-04,让人物参考匹配重试真正执行,FP-04-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,失败后重试,首次匹配返回可重试失败，再点击重试。,确有第二次请求；成功结果呈现，错误状态解除。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-04,让人物参考匹配重试真正执行,FP-04-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,防重复与过期响应,忙态连续点击，并在返回前更换源帧。,无重复提交风暴；旧源帧结果不写入新组合。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-05,统一参考图选择与后端参数约束,FP-05-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,类型和数量,尝试选视频、音频、重复图及超过服务端上限的图片。,不产生无效请求；第5张在当前max_reference=4时被明确阻止。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-05,统一参考图选择与后端参数约束,FP-05-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,旧草稿与能力变化,恢复含超限引用的草稿或关闭某模式。,提示并要求修正，不能绕过前端提交检查；后端校验继续有效。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-06,统一生成费用确认与提交门禁,FP-06-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,报价失败,让报价超时或失败，在所有生成入口点击提交。,没有创建付费任务；可重试报价并展示错误。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-06,统一生成费用确认与提交门禁,FP-06-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,参数变化与重复点击,报价后修改时长/数量，再连续点击确认。,重新报价；只创建一次任务，费用对应最终参数。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-06,统一生成费用确认与提交门禁,FP-06-A3,本地自动化/受控浏览器,AUTOMATED_VERIFIED,三入口一致,分别从复刻、独立生成、口播完成确认。,均先显示费用与计费单位，再形成可追踪任务；服务端账务规则保持。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-07,阻止真实人物生成落入占位切片,FP-07-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,真实格式,使用受控PNG、JPG、WebP主图执行生成与切片。,支持格式的切片确实来自原图，可用局部颜色/结构对照证明；不支持格式明确拒绝，无占位APPROVED/PUBLISHED。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-07,阻止真实人物生成落入占位切片,FP-07-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,坏图或裁切失败,输入损坏图或注入裁切失败。,任务可解释地失败；无假切片、无错误成功状态；原图保留。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-08,统一资产来源展示与正式入口模拟限制,FP-08-A1,本地自动化/受控浏览器,AUTOMATED_VERIFIED,来源组合,加载主图真实但切片占位、全真实、来源未知的受控记录。,新旧人物界面均能反映对应来源，不将未知/占位默认为真实可用。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-08,统一资产来源展示与正式入口模拟限制,FP-08-A2,本地自动化/受控浏览器,AUTOMATED_VERIFIED,配置缺失,分别以客户生产、确认后的内部正式模式、显式DEV测试模式缺配置启动流程。,正式流程明确失败；DEV测试才可显示标记后的模拟产物；失败不自动切review样例。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
FP-09,盘点历史占位资产并制定修复批次,FP-09-A1,指定目标数据源只读核验,目标数据源盘点报告完工,库存核对,在明确指定的授权数据源读取来源元数据并抽查样本。,总数可与查询结果对齐；保留引用关系；未知来源单列，不武断判假。 明确数据源、时间范围和未覆盖范围；只有fixture证据时不得宣称目标库存已盘清。,未执行,记录候选SHA、环境、角色/脱敏账号、前置数据、实际操作与实际结果；前后端写操作附脱敏请求/响应、关联ID与必要DB对照；交互附截图/录屏；自动化附命令、退出码与日志。真实链路另附供应商回执/产物及账务。,,,,
