任务ID,批次,优先级,任务,当前状态,排期条件,主责/复核,来源缺口,依赖,依赖要求,确认点,正式任务映射,完工标准,验收用例ID,源码范围（审计快照）
FP-00,A 基线与现有流程修复,P0,建立复现基线与逐项处理台账,未开工,可先做基线确认,QA / 前端，独立评审,G01、G02、G03、G04、G05、G06、G07、G08、G09、G10,无,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 核对审计分支452478f与当前main及目标实施分支的差异；若相关功能尚未合入，先确认并完成既定集成前置，不能在缺少V1.4功能的旧基线盲修。
2. 固定待修源码 SHA、运行入口、角色和数据集；每个源码发现登记可复现/不复现/已修/待外部条件，不能直接视为浏览器已复现。
3. 先复现 G01–G10；其他发现进入对应任务时复现。为成立缺陷写能在原实现失败的行为测试；不成立的记录反证并关闭，不为凑清单修改代码。
4. 登记共享文件负责人、已有未提交变更及主账本关联；本清单是工作分解，不新建或重编号 V3 主任务。
5. 交付本期每个FP → 正式TXX → 唯一实施分支 → PR/证据位置的映射；未建PR可先留计划占位，创建后回填。无法归入既有TXX的范围先登记待正式立项，不自创编号或开始实施。",FP-00-A1、FP-00-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.test.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.test.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.test.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/客户版任务清单-V3.md"
FP-01,A 基线与现有流程修复,P0,接通新上传项目与创作工作区,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G01,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 上传完成后同步已保存项目、来源资产和当前草稿，进入可拆解状态；复用既有上传/项目接口。
2. 失败、取消、换来源和迟到响应有明确处理，不把未上传成功的来源设为就绪。",FP-01-A1、FP-01-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts"
FP-02,A 基线与现有流程修复,P0,恢复复刻分镜与脚本版本,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G02,FP-01,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 重挂载时读取当前项目已保存分镜/脚本/Prompt版本；未保存编辑的离页行为明确。
2. 恢复过程有加载/失败/重试，换项目清理旧状态；不通过重新AI拆解恢复已有数据。",FP-02-A1、FP-02-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts"
FP-03,A 基线与现有流程修复,P0,接通确认首帧到视频生成的资产交接,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G03,FP-01,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 确认首帧后同步或按ID读取可用资产与签名预览，保持首帧版本及归属一致。
2. 上游人物/源帧/项目变化使确认失效；禁止失效首帧或旧请求覆盖。",FP-03-A1、FP-03-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts"
FP-04,A 基线与现有流程修复,P0,让人物参考匹配重试真正执行,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G04,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 使用既有模式触发明确重试，保留忙态、错误和成功状态。
2. 每次点击对应一次有效请求；切换上游后旧匹配结果作废。",FP-04-A1、FP-04-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/ProjectDetailFlow.tsx"
FP-05,A 基线与现有流程修复,P1,统一参考图选择与后端参数约束,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G12,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 仅展示/接受后端支持的图片类型和数量；沿用capabilities限制，不扩展后端模式或放松校验。
2. 上传、素材选择、草稿恢复和最终提交都校验，提供清晰纠正提示。",FP-05-A1、FP-05-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/independent.py"
FP-06,A 基线与现有流程修复,P0,统一生成费用确认与提交门禁,未开工,待基线复现/前置任务,前端 / 后端，QA 复核,G13,FP-02、FP-03、FP-05,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 复刻、独立生成和口播都在取得有效报价后提供确认；报价失败/加载中不能提交。
2. 参数或报价版本变化需要重新核对；复用钱包与幂等机制，不改变费率或结算规则。",FP-06-A1、FP-06-A2、FP-06-A3,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts"
FP-07,A 基线与现有流程修复,P0,阻止真实人物生成落入占位切片,未开工,待基线复现/前置任务,后端 / 媒体处理，QA 复核,D02,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 真实主图裁切成功时只产生真实切片；失败时明确失败/可重试，绝不以deterministic_png替代并批准发布。
2. 优先复用现有媒体能力；若支持某格式必须新增依赖，先提出具体依赖方案确认。保留主图与诊断证据，不删除用户原图。",FP-07-A1、FP-07-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/media_tools.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/first_frame_routes.py"
FP-08,A 基线与现有流程修复,P0,统一资产来源展示与正式入口模拟限制,未开工,待排期，相关子项先确认,前端 / 后端，QA 复核,D01、D03、D04、D05、D06,FP-07,AUTOMATED_VERIFIED,Q01,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 主图/切片来源分别传递并展示；真实、占位、未知状态不混为一谈。
2. 客户生产强制禁Fake；内部入口按Q01确认的用途落规则。保留隔离DEV审核与测试夹具，检查产物中生产不可达。",FP-08-A1、FP-08-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/analysis_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/first_frame_routes.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/CharacterLibrary.tsx
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/RootApp.tsx"
FP-09,A 基线与现有流程修复,P1,盘点历史占位资产并制定修复批次,未开工,数据源及只读访问范围明确后可盘点；Q02仅阻塞后续处置,后端 / 数据负责人，业务复核,D02、D03,FP-00,AUTOMATED_VERIFIED,无,待FP-00映射正式TXX、实施分支及PR；禁止擅自编号,"1. 明确目标数据源、环境、时间范围和只读访问范围后做统计：按主图/切片来源、引用关系和任务状态列出受影响范围，输出脱敏清单；不依赖Q02处置决定开工。
2. 逐项生成保留原图/重新裁切/重新生成/标记不可用方案及成本、影响和回滚；本任务不自动删除、扣费或修改生产资产。
3. 库存结论仅覆盖实际读取的数据源；本地fixture可验证盘点逻辑，不能替代目标客户/生产库存结论。Q02仅阻塞报告之后的写入、重生成或删除，不阻塞本任务报告验收。",FP-09-A1、FP-09-A2,"/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/simple_character.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/server/app/materials.py
/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/docs/CUSTOMER-TASK-EVIDENCE-V3.md"
