"任务编号","阶段","任务名称","主责角色","前置任务","执行条件","基线判断","工作内容","涉及文件或对象","验收标准","完工标准","必交证据","目标证据层级","记录口径"
"CW-001","W0","固定代码与迁移发布基线","集成负责人","无","必需","已有多个分支，需重新对齐","核对 main、当前候选、人物/素材/口播/前端收口/发布等已提交分支；按实际补丁确认复用与缺口，固定本次实施 SHA 和唯一 Alembic head，保存 WIP 可恢复快照。","git refs；server/migrations/versions/；source-baseline.json","列出每个候选的保留、已合或待整合结论及依据；在所选基线复核迁移无多 head、无已发布 revision 改写；恢复抽查能找回受保护的原改动。 数据库源码与规范分别固定版本；旧报告的SQLite/PG并存只记现状，不作为新PG唯一目标。","发布基线、补丁来源和迁移图经集成复核签字，后续任务统一引用该 SHA；不能把分析分支历史整体当作待合补丁。","refs/补丁清单、迁移图、备份恢复记录","决策与静态核验","规划定义；实施状态以V3账本为准"
"CW-002","W0","冻结产品、平台和业务范围","产品负责人 + 架构负责人","CW-001","必需","需范围确认，已有业务优先保留","确认只交付客户桌面与后端服务、管理网页归后端；数据库类型已由用户确定为PostgreSQL，开发/测试/CI/staging/生产一律适用。只冻结业务/平台、游客浏览、发布管理和各类任务的计费公平范围，不再把数据库类型作为待选择项。","client/src/studio/types.ts；client/src/studio/StudioWorkspace.tsx；分析报告 §4、§6","功能/平台逐项登记保留、待补或不支持；数据库范围遵守PG-01—12，所有数据库行为测试用真实PG，SQLite仅允许登记的离线历史输入/兼容。发布与游客范围按既有决策，不把文档确认称为代码已完成。","范围表有明确负责人结论；每个保留功能映射到 CW-018/CW-049 的验收行；所有条件任务均有启用依据或可追溯的不适用理由。","功能/平台/条件任务范围表","决策与静态核验","规划定义；实施状态以V3账本为准"
"CW-003","W0","盘点已发客户端和接口兼容窗口","桌面负责人 + 后端负责人","CW-001","必需","现有代码未证明自动升级机制","列出实际分发的客户端版本、制品哈希、安装身份/目录及其 method-path、字段和认证契约；建立旧客户→新后端、新客户→上一兼容后端矩阵，确定升级提示及版本退出证据。","client/src/api.ts；client/src-tauri/tauri.customer.conf.json；client/src-tauri/src/customer_credentials.rs","每个仍受支持的发行版本均有接口消费者清单；不兼容组合返回明确升级结果且不回退内部身份；不能仅凭新包生成、懒加载或未观测到请求就宣布旧端点无人使用。","兼容窗口及退出判据已冻结；合法旧客户所需端点进入允许清单，删除任务受其约束；无自动更新时明确分发确认/版本观测办法。","版本接口矩阵、凭据命名空间清单、兼容退出规则","决策与静态核验","规划定义；实施状态以V3账本为准"
"CW-004","W0","冻结部署主线与可量化运行指标","运维负责人 + QA","CW-001、CW-002","必需","配置存在，真实拓扑待核对","核对实际 systemd/容器、仓库外 compose、镜像、服务器、域名、PG/COS及密钥供应；选择唯一默认交付路径，定义负载、每类队列等待阈值、RTO/RPO、灰度时长和回滚触发值。 同时冻结开发/测试/CI/staging/生产的PG16版本、独立库/角色/连接目标、连接池与超时；应用、迁移、备份和测试身份分工明确。","deploy/；docs/客户版测试与验收规格-V3.md §8；docs/客户版部署与灰度手册.md","默认部署路径能解释 API、Worker、迁移、管理资源、备份和监控的归属；发布阈值含数值、采样窗口、场景和负责人，不能仅写正常/稳定/足够快；使用正本建议值时注明待目标机定标。 不同环境不共用业务库；目标PG容量与连接预算按API/Worker进程数合计，迁移锁须覆盖多主机入口，不能只依赖单机flock。","拓扑与指标表完整冻结；未选部署方式或未定关键阈值时，不准删除旧部署脚本或进入负载/灰度验收。","部署拓扑、资源清单、指标与灰度参数表","决策与静态核验","规划定义；实施状态以V3账本为准"
"CW-005","W0","选择全部采用 PG 的历史数据处理路线","数据负责人 + 业务负责人","CW-001、CW-002","必需","真实数据尚未盘点","只读盘点内部SQLite、现有PG、历史资产和未完任务的价值与归属；数据库统一PG已经确定，A仅保留客户PG并归档内部数据、B迁入空PG、C合并已有PG；按批次选择历史处置，不能选择继续SQLite运行。","server/scripts/sqlite_to_postgres.py；server/scripts/reconcile_customer_billing.py；data-deploy-audit.md §3","每个数据批次明确来源、目标、owner、需要保留的业务及路线；不得按用户名自动合户；不得把现有空库导入工具当作已有客户库合并工具；敏感实际数据不写入任务 CSV。 每条路线的最终业务库与数据库验收库均为PG；原SQLite只读保护，必要规范化写隔离副本。","形成业务认可的数据批次清单和条件任务选择表；无遗留数据也必须有盘点证据，不能口头跳过数据验收。","脱敏数据清单、路线选择及业务确认记录","决策与静态核验","规划定义；实施状态以V3账本为准"
"CW-006","W0","登记实施任务、文件映射和验收责任","项目负责人","CW-001、CW-002、CW-003、CW-004、CW-005、CW-053","必需","本清单是细化提案，尚未写入状态账本","将 CW 编号映射到 V3 正本的新增/修订工作包，登记 Owner/Reviewer、真实文件路径、先后依赖和回滚界限；纠正成片 DIRECT 与旧 COS 归档说明的冲突，保留历史证据原文。","docs/客户版任务清单-V3.md；docs/客户版代码开发清单-V3.md；docs/客户版开发计划-V3.md；docs/客户版激活码完整开发文档-V3.md；docs/客户版测试与验收规格-V3.md；docs/CUSTOMER-TASK-EVIDENCE-V3.md；docs/PostgreSQL唯一数据库实施与验收规范.md；README.md；AGENTS.md","新文件名先登记再实现；每项任务只引用唯一状态账本，证据使用 §14 模板；真实调用、生产迁移、发码和发布的已有授权范围有记录，授权未到不影响本地准备工作。 CW-001—060状态只在正本登记，PG-01—12的文件与验收映射完整；历史T03—T09/SQLite通过记录保持原文，不自动升级为全环境PG证据。","范围、文件、责任、验收与回滚无相互矛盾；执行清单获登记，后续不再以这份静态 CSV 独立更新完成状态。","正本变更、任务映射、Owner/Reviewer与证据位置","文档验收","规划定义；实施状态以V3账本为准"
"CW-053","W0","登记全量数据库依赖与历史 SQLite 例外","架构负责人 + QA","CW-001、CW-002","必需","旧33模块与92测试文件数字是历史扫描口径","扫描所有业务表、API/Worker/管理CLI/备份/部署/测试/桌面依赖；区分实际连接、SQL方言、row/异常类型、共享工具与已发布迁移；建立TEST-LOGIC/TEST-PG/TEST-IMPORT/TEST-HISTORY分类、PG-01—12映射和精确SQLite历史允许清单。","server/app/；server/tests/；server/scripts/；server/migrations/；scripts/；deploy/；client/src-tauri/","每个数据库消费者及fixture有归类、替代方式和责任；运行分支与纯类型引用分开统计；例外精确到文件/符号/用例且无整个目录豁免；线上未知数据单列，静态扫描不冒充盘点完成。","数据库迁移面和例外范围完整复核；新业务或新数据库测试不能使用SQLite，后续收尾对照同一清单核销。","源码/调用关系、测试分类与例外表、PG合同映射","静态依赖与范围核验","规划定义；实施状态以V3账本为准"
"CW-007","W1","建立全业务 PostgreSQL 测试基座与缺库硬门","测试负责人 + 后端负责人","CW-006","必需","已有 PG 测试需复用和完善","依CW-053将测试/fixture分为TEST-LOGIC纯逻辑、TEST-PG当前业务、TEST-IMPORT离线导入、TEST-HISTORY历史兼容。统一PG16测试库生命周期、合法客户/管理/session/钱包种子；TEST-PG类必须显式TEST_POSTGRESQL_URL并可连接，保留OS凭据和外部服务替身隔离。","server/tests/conftest.py；server/tests/test_db_pg.py；server/tests/test_postgres_migrations.py；server/tests/test_customer_fencing.py；server/pyproject.toml；scripts/pg-fixture.sh","无PG/错DSN/不安全目标时preflight非0失败，不skip或回退SQLite；测试host/库名前缀及范围明确，清理拒绝非测试库；至少2客户3设备可重复建种；连续2次及中断后重跑一致，2个独立专项不互删/串数据；共享全量fixture只允许1个suite运行。","所有TEST-PG类可复用同一PG基座并记录版本/head/隔离ID；TEST-IMPORT/TEST-HISTORY目标与对账用PG且分栏报告；默认开发身份不再替代客户数据库测试，无缺库伪绿。","逐类fixture表、缺库/错目标失败证据、连续与中断复验、隔离清理日志","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
"CW-008","W1","锁定真实客户界面回归及钱包失败用例","前端测试负责人","CW-006","必需","旧壳测试不覆盖新工作台钱包路径","从真实 RootApp/CustomerWorkspace 挂载客户工作台，锁定使用记录与个人中心钱包入口、资料、退出和会话恢复；对钱包错误补能在当前缺陷上失败的测试。","client/src/RootApp.test.tsx；client/src/customer/CustomerWorkspace.test.tsx；client/src/studio/StudioWorkspace.test.tsx；client/src/studio/LiveWorkspacePanel.test.tsx","测试不把 StudioWorkspace 替换为旧 WorkspaceShell；模拟生产形状客户钱包响应，复现内部定价校验错误；确认两个客户钱包入口的预期接口、组件及充值动作。","缺陷测试红灯日志与后续修复通过条件已保存；原有客户页面行为基线明确，不能靠改成内部响应形状消除失败。","失败测试/原始失败输出、客户入口覆盖表","回归基线，修复后转绿","规划定义；实施状态以V3账本为准"
"CW-009","W1","锁定身份、权限及事务 fencing 不变量","后端测试负责人","CW-007","必需","已有安全测试需逐路由延伸","按匿名、客户A/客户B、管理员、只读审计员、旧内部身份建立读取和写入矩阵；覆盖会话在入口验证后被切换、迟到 heartbeat/logout/业务写及幂等重放；将V3验收规格§6每条安全要求登记为不可省略子用例。","server/tests/test_customer_fencing.py；server/tests/test_customer_security.py；server/tests/test_internal_access_tokens.py；server/tests/test_admin_auth.py","越权读写、旧 token、被撤销设备、过期 lease、旧 epoch 写入全部拒绝且无业务副作用；客户 token 不能进行管理写，auditor 不能写；逐项验证CSRF、CORS、Host/Forwarded Header信任、Cookie属性、session fixation、epoch回退、重放、配对批准不可转用、枚举限流、管理员真实actor/原因/确认/幂等、密钥轮换旧key验证窗；码和设备/session token明文不进入日志、Sentry、CSV、数据库dump或LocalStorage；支付回调独立鉴权有测试。","待保留路由授权矩阵、事务内重验和V3§6安全子矩阵全部有用例及结果；行为测试与代码复核通过后才可退出兼容分支，密钥扫描不能代替安全行为测试。","角色×method-path矩阵、V3§6逐条用例映射、PG竞态/拒绝及脱敏输出证据","AUTOMATED_VERIFIED","规划定义；实施状态以V3账本为准"
