编号,问题或类型,证据/验收条件
G01,**新项目上传后未同步工作区。** 复刻上传成功仅写 draft ID（[client/src/studio/CreationPages.tsx:408](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:408)），未更新 project 列表/ready 状态；渲染仍命中 source 且无 project（[client/src/studio/CreationPages.tsx:648](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:648)）。壳层项目只在完整 refresh 时加载（[client/src/studio/StudioWorkspace.tsx:430](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:430)），20 秒轮询只更新任务/统计。,空账号直接上传→无需刷新即可点击 AI 拆解、转人物替换并找到刚上传项目。
G02,**拆解后离页再返回，分镜状态未恢复。** shots/shotCardVersionId 在复刻局部 state（[client/src/studio/CreationPages.tsx:384](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:384)）；只有手选已有项目会加载（[client/src/studio/CreationPages.tsx:430](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:430)），已有项目时入口不再显示。,拆解→人物替换→返回复刻，恢复原分镜版本，可继续送生成且不重复付费拆解。
G03,**置换首帧只有 ID，没有进入可用资产。** 确认写 firstFrameId（[client/src/studio/CreationPages.tsx:928](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:928)），跳视频页；页面与校验从 data.assets/materials 查找（[client/src/studio/StudioWorkspace.tsx:687](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:687)）。,刚生成确认的首帧立即显示并能提交，不能报“请选择首帧图片”。
G04,**重试参考匹配不执行。** 按钮仅清 ref/error（[client/src/studio/CreationPages.tsx:1010](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:1010)），匹配 effect 依赖不变（[client/src/studio/CreationPages.tsx:979](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:979)）。,第一次匹配失败后点击重试产生新的匹配请求，并恢复成功/失败状态。
G05,**看板查看视频传错 ID。** 用 work.task_id（[client/src/studio/AnalyticsPage.tsx:195](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/AnalyticsPage.tsx:195)），但 Studio 普通任务 id 是 batch.id（[client/src/studio/live.ts:541](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/live.ts:541)），详情按 id 查找（[client/src/studio/MainPages.tsx:757](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/MainPages.tsx:757)）。,看板任何可见作品均打开对应结果；作品不在前 20 批次时也能加载。
G06,**爆款→文案/复刻仅跳页。** 媒体准备只回调 kind，丢失 URL/资产/项目（[client/src/studio/ContentPages.tsx:629](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:629)）；后续写平台视频 ID（[client/src/studio/ContentPages.tsx:699](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:699)），而分析只按 draft.projectId 查找（[client/src/studio/StudioWorkspace.tsx:624](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:624)）。,任意爆款开始提取/复刻时，下载或接入来源资产→创建正确项目→转写/拆解；不显示旧草稿来源。
G07,**照片→分身带错字段。** 点击照片只写 selectedAssetId（[client/src/studio/PeoplePages.tsx:491](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx:491)），分身源图读取 draft.imageId（[client/src/studio/PeoplePages.tsx:541](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/PeoplePages.tsx:541)）。,所点照片自动成为新分身源图，换人物不会沿用旧图。
G08,**爆款更多内容不可见。** observer 读取 sentinelRef（[client/src/studio/ContentPages.tsx:470](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:470)），底部节点未绑定 ref（[client/src/studio/ContentPages.tsx:608](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/ContentPages.tsx:608)），初始 12 条无法扩展。,数据超过 12 条时滚动能继续加载/展示，切平台和筛选后仍有效。
G09,**口播字幕/模板未进入请求。** UI 改 state（[client/src/studio/CreationPages.tsx:1882](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/CreationPages.tsx:1882)），createOralTask 调用不传（[client/src/studio/StudioWorkspace.tsx:354](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/studio/StudioWorkspace.tsx:354)），最终 subtitle:null（[client/src/api.ts:1116](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/api.ts:1116)）。后端已有 subtitle 接收与 worker 下发。,勾选字幕实际进入供应商请求并体现在成片；模板要有完整契约，否则移除可选假象。
G10,**管理端客户上下文混用。** 查看设备同步两个 userId，查看会话只改会话 ID（[client/src/admin/CustomersManagementPage.tsx:64](/Users/honor.pei/Documents/订单项目/乡墅爆款短视频复刻/client/src/admin/CustomersManagementPage.tsx:64)）。,先查看 A 设备，再查看 B 会话时，所有客户区域一致指向 B。
